STNAME,YEAR,AAWDT
1ST AVE,2017,133636
BOREN AVE,2017,119533
NE 45TH ST,2017,117785
LAKE CITY WAY NE,2017,111030
NW MARKET ST,2017,98650
3RD AVE,2017,94422
35TH AVE SW,2017,89567
NE 45TH ST,2018,88103
AIRPORT WAY S,2017,78659
MONTLAKE BLVD E,2017,66361
RAINIER AVE S,2017,63805
E MADISON ST,2017,62543
E MADISON ST,2018,59570
CALIFORNIA AVE SW,2017,59459
N 80TH ST,2018,53422
FAUNTLEROY WAY SW,2017,52987
15TH AVE S,2017,47181
SW ROXBURY ST,2017,46084
LEARY WAY NW,2017,45272
NE 65TH ST,2017,45069
ROOSEVELT WAY NE,2017,43150
SEWARD PARK AVE S,2017,42358
AURORA AVE N,2018,40714
W NICKERSON ST,2017,39617
NE RAVENNA EB BV,2018,39453
25TH AVE NE,2017,38593
15TH AVE NE,2017,38185
35TH AVE NE,2018,35820
4TH AVE S,2018,34537
STONE WAY N,2018,32291
23RD AVE S,2017,31773
S COLUMBIAN WAY,2017,30875
NW 85TH ST,2017,30292
7TH AVE NE,2018,29070
EASTLAKE AVE E,2017,28324
S ROYAL BROUGHAM WAY,2017,27846
N 34TH ST,2017,27700
35TH AVE SW,2018,27585
NE 75TH ST,2017,27156
E PINE ST,2018,27079
N 45TH ST,2017,26666
S CLOVERDALE ST,2017,26187
S ALASKA ST,2017,24919
QUEEN ANNE AVE N,2017,24827
BOYLSTON AVE E,2017,24412
WALL ST,2017,24318
M L KING JR WAY S,2017,23819
8TH AVE NW,2017,23803
BEACON ER AVE S,2017,23783
23RD AVE S,2018,23168
SWIFT AVE S,2017,23053
BEACON AVE S,2017,23036
6TH AVE S,2017,22408
AIRPORT WAY S,2018,22225
SW ALASKA ST,2017,21319
16TH AVE SW,2017,21164
HARVARD AVE E,2017,21028
SYLVAN WAY SW,2017,20840
CALIFORNIA AVE SW,2018,20636
12TH AVE NE,2017,19902
NE RAVENNA WB BV,2018,19712
NW 80TH ST,2018,19373
WILSON AVE S,2018,19308
NE 103RD ST,2017,19249
5TH AVE NE,2017,19001
23RD AVE,2017,18883
E OLIVE WAY,2017,18764
NE 50TH ST,2017,18514
23RD AVE,2018,18456
SW HOLDEN ST,2018,18351
10TH AVE E,2017,18147
NE NORTHGATE WAY,2018,17985
BOREN AVE S,2017,17916
HARBOR AVE SW,2017,17728
8TH AVE NW,2018,16871
YALE AVE,2017,16571
NICKERSON ST,2017,16523
UNIVERSITY WAY NE,2017,16265
SAND POINT WAY NE,2018,16217
RENTON AVE S,2017,16136
WALLINGFORD AVE N,2017,16117
MERIDIAN AVE N,2018,16076
QUEEN ANNE AVE N,2018,16057
NE 70TH ST,2018,15895
GOLF DR S,2017,15793
E PIKE ST,2018,15775
15TH AVE E,2017,15261
QUEEN ANNE DR,2017,15203
M L KING JR WAY,2017,15115
BOYER AVE E,2017,15006
S MYRTLE PL,2017,14970
19TH AVE E,2017,14961
NW MARKET ST,2018,14932
11TH AVE NE,2017,14443
NE 125TH ST,2017,14401
NE PACIFIC ST,2017,13664
3RD AVE NW,2018,13348
SW WILDWOOD PL,2018,13308
20TH AVE NW,2018,13278
SW HENDERSON ST,2018,13168
NE 100TH ST,2017,12896
NE NORTHGATE WAY,2017,12883
5TH AVE NE,2018,12808
BATTERY ST,2017,12682
BRIDGE WAY N,2018,12557
N 50TH ST,2018,12456
WOODLAND PL N,2018,12425
EAST GREEN LAKE WAY N,2017,12342
32ND AVE NW,2018,12315
35TH AVE NE,2017,12045
NE 125TH ST,2018,12021
S JACKSON ST,2017,11929
MAGNOLIA BLVD W,2018,11899
SW ROXBURY ST,2018,11890
N 35TH ST,2018,11675
DEXTER AVE,2017,11646
LAKE WASHINGTON BLVD E,2017,11485
BROADWAY E,2017,11430
LENORA ST,2017,11408
EAST GREEN LAKE DR N,2017,10910
S MCCLELLAN ST,2017,10840
ROY ST,2017,10572
N 92ND ST,2017,10329
ELLIS AVE S,2017,10311
S BAILEY ST,2017,10186
40TH AVE NE,2018,10179
15TH AVE NE,2018,10148
W MCGRAW ST,2018,10101
NW LEARY WAY,2017,9976
51ST AVE S,2018,9865
E JOHN ST,2018,9745
W HOWE ST,2017,9567
24TH AVE NW,2017,9524
N 115TH ST,2018,9513
S DEARBORN ST,2017,9464
6TH AVE N,2018,9399
NE NORTHLAKE WAY,2017,9342
50TH AVE S,2017,9313
S CLOVERDALE ST,2018,9313
12TH AVE NE,2018,9221
LINDEN AVE N,2017,9173
NE 95TH ST,2017,9111
S INDUSTRIAL WB WAY,2017,9102
EASTLAKE AVE E,2018,8988
S INDUSTRIAL EB WAY,2017,8811
M L KING JR WAY E,2017,8706
S GENESEE ST,2017,8696
E CHERRY ST,2017,8382
W DRAVUS ST,2018,8261
FLORENTIA ST,2017,8218
COLLEGE WAY N,2017,8020
DEXTER AVE N,2018,7995
LAKESIDE AVE S,2017,7927
7TH AVE S,2018,7882
NW 54TH ST,2018,7880
CLISE PL W,2018,7817
NE 95TH ST,2018,7592
NW 100TH PL,2018,7477
NE 55TH ST,2018,7464
SW BARTON ST,2017,7172
NE 40 UPPER ST,2018,7151
DELMAR DR E,2017,7141
SW TRENTON ST,2017,7108
W GOVERNMENT WAY,2018,6952
LATONA AVE NE,2017,6841
17TH AVE SW,2017,6827
MAYNARD AVE S,2017,6667
UNION BAY PL NE,2018,6665
28TH AVE W,2018,6629
MAGNOLIA BR WB,2017,6593
40TH AVE NE,2017,6548
LAKEVIEW BLVD E,2017,6545
DELRIDGE WAY SW,2018,6530
20TH AVE W,2017,6498
S ORCAS ST,2017,6495
S SPOKANE SR ST,2017,6494
19TH AVE,2017,6297
E BOSTON ST,2017,6235
S HARDY ST,2017,6196
45TH AVE SW,2018,5952
34TH AVE W,2018,5949
N 122ND ST,2018,5940
34TH AVE W,2017,5893
20TH AVE NE,2018,5891
LAKE WASHINGTON BLVD,2018,5835
9TH AVE SW,2017,5824
LAKE WASHINGTON BLVD E,2018,5743
WEEDIN PL NE,2017,5715
NE 40TH ST,2018,5623
S COLLEGE ST,2017,5537
SEAVIEW AVE NW,2017,5532
NE 55TH ST,2017,5377
SW 106TH ST,2018,5153
E UNION ST,2017,4931
BEACH DR SW,2017,4893
THORNDYKE AVE W,2018,4687
25TH AVE SW,2018,4663
NW 65TH ST,2018,4619
1ST AVE N,2017,4435
S HENDERSON ST,2018,4408
34TH AVE,2017,4396
S CLOVERDALE PL,2018,4340
LATONA AVE NE,2018,4306
16TH AVE SW,2018,4283
FREMONT AVE N,2018,4170
RAVENNA AVE NE,2018,4159
CORNELL AVE S,2018,4108
PHINNEY AVE N,2018,4080
MADRONA DR,2017,4018
ADMIRAL AVALON RP,2017,3979
49TH AVE SW,2017,3918
14TH AVE S,2017,3905
MARINE VIEW DR SW,2017,3793
W EMERSON ST,2017,3788
WEST GREEN LAKE DR N,2018,3755
NE 42ND ST,2018,3741
S OTHELLO ST,2018,3692
NW 125TH ST,2018,3607
W BARRETT ST,2018,3578
4TH AVE,2018,3505
6TH AVE W,2018,3467
11TH AVE W,2017,3210
DEXTER WAY N,2017,3205
WOODLAWN AVE NE,2018,3183
28TH AVE W,2017,3095
VALLEY ST,2018,2981
NE 73RD ST,2018,2963
35TH AVE S,2018,2951
SEWARD PARK AVE S,2018,2941
WOODLAWN AVE NE,2017,2836
NW 96TH ST,2017,2798
SW CHARLESTOWN ST,2017,2771
PINE ST,2017,2756
S ROXBURY ST,2017,2591
LAKE WASHINGTON BLVD S,2017,2545
NE 85TH ST,2018,2470
CARKEEK DR S,2017,2454
S WALKER ST,2017,2398
24TH AVE NW,2018,2396
12TH AVE S,2017,2383
48TH AVE SW,2017,2372
2ND AVE NE,2017,2212
SW HUDSON ST,2018,2155
NE 80TH ST,2018,1941
MERIDIAN AVE N,2017,1929
WATERS ER AVE S,2018,1842
LAKE DELL AVE,2017,1767
S ORCAS ST,2018,1753
VIEWMONT WAY W,2018,1666
WEST VIEWMONT WAY W,2017,1657
42ND AVE E,2017,1611
WATERS AVE S,2017,1602
N 45TH ST,2018,1506
MAGNOLIA BLVD W,2017,1506
THACKERAY PL NE,2017,1447
W TILDEN ST,2017,1379
59TH AVE SW,2017,1298
28TH AVE NW,2017,1079
43RD AVE E,2018,971
CONDON WAY W,2018,969
W OLYMPIC PL,2017,800
30TH AVE W,2018,622
S MOUNT BAKER EB BV,2017,468
